3,8,2
8,8,2
3,6,4
3,6,8
3,6,8
3,6,8
8,10,4
8,10,4
8,8,4
3,10,8
3,6,8
3,6,2
8,8,2
3,10,4
3,10,8
3,6,8
8,6,8
8,6,2
8,8,2
3,6,2
8,8,4
3,6,4
8,10,4
3,6,4
8,8,4
3,6,2
3,8,2
3,10,2
3,6,2
8,6,2
8,6,2
8,6,2
3,8,2
8,8,4
8,8,4
8,6,4
3,10,4
8,10,4
8,10,4
8,6,4
3,6,4
3,8,4
3,8,4
3,8,6
3,6,6
8,6,6
8,10,6
3,6,6
3,8,6
8,6,8
8,6,8
8,10,8
8,6,8
8,8,8
3,8,8
3,6,4
3,10,6
3,6,6
8,8,6
3,8,8
8,10,8
8,8,8
3,8,8
3,10,6
3,8,2
3,8,2
8,6,2
8,10,6
8,8,4
3,6,4
3,10,4
8,8,4
8,6,4
3,10,4
8,8,6
3,6,4
3,10,6
3,8,2
3,6,2
8,6,8
3,10,2
3,8,8
3,6,8
3,10,4
8,6,4
8,8,4
3,8,4
8,6,4
3,8,2
3,6,2
8,8,2
8,6,2
3,6,2
8,6,4
3,6,6
8,6,8
3,10,8
8,6,8
8,10,4
8,6,6
